OTUs,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
231,Bacteria,NA,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Candidatus Protochlamydia,Candidatus Protochlamydia amoebophila
232,Bacteria,NA,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila,Chlamydophila felis
233,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,Bdellovibrio bacteriovorus
234,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas savastanoi
235,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella ruminicola
236,Bacteria,NA,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Moorella,Moorella thermoacetica
237,Bacteria,NA,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylobacillus,Methylobacillus flagellatus
238,Bacteria,NA,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Mesoplasma,Mesoplasma florum
239,Bacteria,NA,Actinobacteria,Actinobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,Rubrobacter xylanophilus
240,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus metallidurans
241,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia xenovorans
242,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Chelativorans,Chelativorans sp. BNC1
243,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti
244,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium loti
245,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Kineococcus,Kineococcus radiotolerans
246,Archaea,NA,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis
247,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
248,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum
249,Bacteria,NA,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma mobile
250,Bacteria,NA,Cyanobacteria,NA,Chroococcales,NA,Synechococcus,Synechococcus elongatus
251,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia vietnamiensis
252,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia canis
253,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Rhodospirillum rubrum
254,Archaea,NA,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri
255,Bacteria,NA,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,Cytophaga hutchinsonii
256,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter metallireducens
257,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiopsaceae,Thermobifida,Thermobifida fusca
258,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
259,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter sp. ELB17
260,Bacteria,NA,Cyanobacteria,NA,Oscillatoriales,NA,Oscillatoria,Oscillatoria sp. PCC 6506
261,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus halodurans
262,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium acetobutylicum
263,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter diazotrophicus
264,Archaea,NA,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula,Haloarcula marismortui
265,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
266,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria innocua
267,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium extorquens
268,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium leprae
269,Bacteria,NA,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma mycoides
270,Bacteria,NA,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma penetrans
271,Bacteria,NA,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma pneumoniae
272,Bacteria,NA,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma pulmonis
273,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella multocida
274,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhodobacter capsulatus
275,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhodobacter sphaeroides
276,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia prowazekii
277,Archaea,NA,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus solfataricus
278,Archaea,NA,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus tokodaii
279,Bacteria,NA,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter,Caldanaerobacter subterraneus
280,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes
281,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia pseudotuberculosis
282,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium dahliae
283,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,NA,Candida,Candida orthopsilosis
284,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,NA,Candida,Candida metapsilosis
285,Eukaryota,NA,NA,Glaucocystophyceae,NA,Cyanophoraceae,Cyanophora,Cyanophora paradoxa
286,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus
287,Eukaryota,NA,NA,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,Porphyra purpurea
288,Eukaryota,NA,NA,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia yezoensis
289,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus licheniformis
290,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium aromaticivorans
291,Viruses,NA,NA,NA,Caudovirales,Podoviridae,Bppunalikevirus,Burkholderia phage BcepC6B
292,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Lactobacillus phage Lc-Nu
293,Bacteria,NA,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Pseudogulbenkiania,Pseudogulbenkiania ferrooxidans
294,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus haemolyticus
295,Eukaryota,NA,NA,Bangiophyceae,Cyanidiales,Cyanidiaceae,Cyanidioschyzon,Cyanidioschyzon merolae
296,Viruses,NA,NA,NA,Caudovirales,Podoviridae,NA,Pseudomonas phage F116
297,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leifsonia,Leifsonia xyli
298,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas,Desulfuromonas acetoxidans
299,Viruses,NA,NA,NA,NA,Adenoviridae,Mastadenovirus,Human adenovirus C
300,Eukaryota,NA,NA,Raphidophyceae,Chattonellales,Chattonellaceae,Heterosigma,Heterosigma akashiwo
301,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella quintana
302,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella henselae
303,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Filobasidiella,Cryptococcus neoformans
304,Eukaryota,NA,Bacillariophyta,Mediophyceae,Eupodiscales,Eupodiscaceae,Odontella,Odontella sinensis
305,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina loihiensis
306,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,Kluyveromyces lactis
307,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Yarrowia,Yarrowia lipolytica
308,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii
309,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,Candida glabrata
310,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium gossypii
311,Eukaryota,Fungi,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces,Schizosaccharomyces pombe
312,Eukaryota,NA,NA,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,Gracilaria tenuistipitata
313,Eukaryota,NA,Phaeophyceae,NA,Ectocarpales,Ectocarpaceae,Ectocarpus,Ectocarpus siliculosus
314,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. BTAi1
315,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
316,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Renibacterium,Renibacterium salmoninarum
317,Bacteria,NA,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Thermodesulfovibrio,Thermodesulfovibrio yellowstonii
318,Eukaryota,NA,NA,NA,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
319,Bacteria,NA,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium limicola
320,Bacteria,NA,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium phaeobacteroides
321,Bacteria,NA,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium phaeovibrioides
322,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter koseri
323,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cronobacter,Cronobacter sakazakii
324,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter aurescens
325,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,Chromohalobacter salexigens
326,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter sp. FB24
327,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Jannaschia,Jannaschia sp. CCS1
328,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
329,Bacteria,NA,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Borrelia,Borrelia bavariensis
330,Bacteria,NA,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Prosthecochloris,Prosthecochloris aestuarii
331,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconobacter,Gluconobacter oxydans
332,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori
333,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Photorhabdus,Photorhabdus asymbiotica
334,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Candidatus Blochmannia,Candidatus Blochmannia pennsylvanicus
335,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Lecanicillium,Lecanicillium muscarium
336,Viruses,NA,NA,NA,Caudovirales,Myoviridae,Twortlikevirus,Staphylococcus phage G1
337,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,Ruegeria sp. TM1040
338,Bacteria,NA,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,Thiobacillus,Thiobacillus denitrificans
339,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVIII. Incertae Sedis,Symbiobacterium,Symbiobacterium thermophilum
340,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Brugia malayi
341,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia canadensis
342,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,Alkaliphilus metalliredigens
343,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
344,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis
345,Eukaryota,NA,Bacillariophyta,Coscinodiscophyceae,NA,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana
346,Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,NA,Micromonas,Micromonas sp. RCC299
347,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Polaromonas sp. JS666
348,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium profundum
349,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,Frankia,Frankia sp. EAN1pec
350,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Shigella sonnei
351,Eukaryota,NA,Euglenida,NA,Euglenales,Euglenaceae,Euglena,Euglena gracilis
352,Archaea,NA,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Methanocella paludicola
353,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas reinhardtii
354,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli
355,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter lari
356,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter upsaliensis
357,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Streptococcus phage 2972
358,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium globosum
359,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,NA,Parachlorella,Parachlorella kessleri
360,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Drosophila ananassae
361,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella vulgaris
362,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Acutodesmus,Acutodesmus obliquus
363,Bacteria,NA,Firmicutes,Clostridia,Thermoanaerobacterales,Thermodesulfobiaceae,Coprothermobacter,Coprothermobacter proteolyticus
364,Bacteria,NA,Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,Dictyoglomus thermophilum
365,Archaea,NA,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax,Haloferax volcanii
366,Bacteria,NA,Chloroflexi,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae,Thermomicrobium,Thermomicrobium roseum
367,Bacteria,NA,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga neapolitana
368,Bacteria,NA,Bacteroidetes,NA,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Salinibacter,Salinibacter ruber
369,Bacteria,NA,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,Dehalococcoides mccartyi
370,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter necessarius
371,Eukaryota,Viridiplantae,Chlorophyta,Nephroselmidophyceae,NA,NA,Nephroselmis,Nephroselmis olivacea
372,Bacteria,NA,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Robiginitalea,Robiginitalea biformata
373,Bacteria,NA,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Microscilla,Microscilla marina
374,Bacteria,NA,Cyanobacteria,NA,Oscillatoriales,NA,Lyngbya,Lyngbya sp. PCC 8106
375,Bacteria,NA,Cyanobacteria,NA,Nostocales,Nostocaceae,Nodularia,Nodularia spumigena
376,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. NRRL B-14911
377,Bacteria,NA,Lentisphaerae,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,Lentisphaera araneosa
378,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter litoralis
379,Bacteria,NA,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Blastopirellula,Blastopirellula marina
380,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Nitrobacter,Nitrobacter sp. Nb-311A
381,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Oceanicaulis,Oceanicaulis sp. HTCC2633
382,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. MED193
383,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. SKA58
384,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter sp. NAS-14.1
385,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,Rhodobacteraceae bacterium HTCC2083
386,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Maritimibacter,Maritimibacter alkaliphilus
387,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina baltica
388,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium profundum
389,Bacteria,NA,Proteobacteria,Gammaproteobacteria,NA,NA,NA,gamma proteobacterium HTCC2207
390,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
391,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. AND4
392,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio splendidus
393,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium angustum
394,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sakei
395,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris
396,Bacteria,NA,Proteobacteria,Betaproteobacteria,NA,NA,NA,beta proteobacterium KB13
397,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella benthica
398,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,C2likevirus,Lactococcus phage c2
399,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia felis
400,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus weihenstephanensis
401,Bacteria,NA,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cytotoxicus
402,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris
403,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris
404,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris
405,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris
406,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter daltonii
407,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas euvesicatoria
408,Bacteria,NA,Chloroflexi,Chloroflexi,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon,Herpetosiphon aurantiacus
409,Bacteria,NA,Cyanobacteria,NA,Chroococcales,NA,Synechococcus,Synechococcus sp. RCC307
410,Bacteria,NA,Cyanobacteria,NA,Chroococcales,NA,Synechococcus,Synechococcus sp. CC9902
411,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira,Thiomicrospira crunogena
412,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Lactococcus phage BK5-T
413,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis alaskensis
414,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella denitrificans
415,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella frigidimarina
416,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis
417,Bacteria,NA,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Pelodictyon,Pelodictyon luteolum
418,Bacteria,NA,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus geothermalis
419,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia pseudomallei
420,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,Anaplasma marginale
421,Bacteria,NA,Cyanobacteria,NA,Chroococcales,NA,Synechococcus,Synechococcus sp. PCC 7002
422,Bacteria,NA,Cyanobacteria,NA,Chroococcales,NA,Synechococcus,Synechococcus sp. WH 7803
423,Bacteria,NA,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobia subdivision 3,Pedosphaera,Pedosphaera parvula
424,Viruses,NA,NA,NA,Caudovirales,Siphoviridae,NA,Staphylococcus phage 53 sensu lato
425,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
426,Bacteria,NA,Cyanobacteria,NA,Chroococcales,NA,Synechococcus,Synechococcus sp. JA-3-3Ab
427,Bacteria,NA,Cyanobacteria,NA,Chroococcales,NA,Synechococcus,Synechococcus sp. JA-2-3B'a(2-13)
428,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Parastagonospora,Parastagonospora nodorum
429,Bacteria,NA,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brevibacterium linens
430,Viruses,NA,NA,NA,NA,Phycodnaviridae,Chlorovirus,Acanthocystis turfacea Chlorella virus 1
431,Bacteria,NA,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Aster yellows witches'-broom phytoplasma
432,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Scheffersomyces,Scheffersomyces stipitis
433,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus
434,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Azotobacter vinelandii
435,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Nitrobacter,Nitrobacter hamburgensis
436,Bacteria,NA,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Nitrobacter,Nitrobacter winogradskyi
437,Bacteria,NA,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,Nitrosospira multiformis
438,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella loihica
439,Bacteria,NA,Chloroflexi,Chloroflexi,Chloroflexales,Chloroflexaceae,Chloroflexus,Chloroflexus aurantiacus
440,Bacteria,NA,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Pelodictyon,Pelodictyon phaeoclathratiforme
441,Viruses,NA,NA,NA,Herpesvirales,Herpesviridae,Roseolovirus,Human herpesvirus 6A
442,Viruses,NA,NA,NA,Herpesvirales,Herpesviridae,Roseolovirus,Human herpesvirus 6B
443,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella amazonensis
444,Bacteria,NA,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimonas,Sulfurimonas denitrificans
